Num_facture,num_contrat,exe,dtemi,datedeb,datefin,datcpt,libop,ncli,Prime,nomncli,nb_jour_couv,client_age,client_gender,client_marital_status
340476,16122,2023,10/9/2023,7/21/2023,12/29/2023,10/29/2023,Avenant,12032761,21719.59,client_1,161,49,Male,Widowed
502431,16108,2024,1/10/2025,9/29/2024,9/27/2025,1/28/2025,Avenant,6138402,4068.83,client_2,91,40,Female,Married
502431,16108,2024,1/10/2025,9/29/2024,9/27/2025,1/28/2025,Avenant,6138402,4068.83,client_2,272,40,Female,Married
296165,16121,2023,4/15/2023,4/8/2023,3/28/2024,4/28/2023,Affaire Nouvelle,8766006,35547.87,client_3,266,60,Female,Single
296165,16121,2023,4/15/2023,4/8/2023,3/28/2024,4/28/2023,Affaire Nouvelle,8766006,35547.87,client_3,89,60,Female,Single
381335,16097,2024,2/8/2024,12/30/2023,12/28/2024,2/26/2024,Terme,4821819,1061.9387,client_4,364,54,Male,Married
265524,16075,2022,11/5/2022,1/23/2022,10/25/2022,11/28/2022,Avenant,1711144,1868.66,client_5,275,35,Female,Married
589824,16161,2025,11/21/2025,9/7/2025,5/29/2026,11/27/2025,Avenant,29553950,4029.223674,client_6,113,35,Female,Married
589824,16161,2025,11/21/2025,9/7/2025,5/29/2026,11/27/2025,Avenant,29553950,4029.223674,client_6,151,35,Female,Married
485006,16115,2024,10/21/2024,7/29/2024,6/27/2025,10/30/2024,Avenant,6375696,7746.36,client_7,153,27,Female,Single
485006,16115,2024,10/21/2024,7/29/2024,6/27/2025,10/30/2024,Avenant,6375696,7746.36,client_7,180,27,Female,Single
428637,16121,2024,4/29/2024,3/29/2024,3/28/2025,5/28/2024,Terme,8766006,59365.2,client_3,275,60,Female,Single
428637,16121,2024,4/29/2024,3/29/2024,3/28/2025,5/28/2024,Terme,8766006,59365.2,client_3,89,60,Female,Single
284438,16072,2023,2/9/2023,12/30/2022,12/29/2023,2/26/2023,Terme,30206,49119.89,client_8,364,47,Female,Divorced
147927,16077,2020,12/20/2020,9/28/2020,9/27/2021,12/27/2020,Avenant,3241841,7217.2,client_9,92,43,Male,Married
147927,16077,2020,12/20/2020,9/28/2020,9/27/2021,12/27/2020,Avenant,3241841,7217.2,client_9,272,43,Male,Married
276812,16095,2022,12/23/2022,2/14/2022,12/29/2022,12/28/2022,Avenant,4729267,1691.92,client_10,318,25,Male,Single
526071,16133,2025,3/27/2025,12/29/2024,12/28/2025,3/28/2025,Terme,17306062,49308.2,client_11,364,33,Male,Married
284035,16106,2023,1/28/2023,12/30/2022,12/29/2023,1/29/2023,Terme,6029834,10830.0,client_12,364,38,Female,Married
410913,16101,2023,3/24/2024,9/12/2023,12/29/2023,3/28/2024,Avenant,4870086,866.74,client_13,108,54,Female,Widowed
314520,16113,2023,7/3/2023,6/26/2023,12/29/2023,7/29/2023,Avenant,6337445,9410.97,client_14,186,25,Male,Single
374989,16120,2024,1/20/2024,12/30/2023,12/28/2024,1/30/2024,Terme,8734510,1211.37,client_15,364,53,Female,Married
150426,16097,2021,2/20/2021,12/29/2020,12/28/2021,2/26/2021,Terme,4081471,1039.233,client_16,364,45,Female,Married
373559,16135,2024,1/11/2024,12/30/2023,12/28/2024,1/30/2024,Affaire Nouvelle,17311799,3244.95,client_17,364,25,Male,Single
193676,16103,2022,4/9/2022,3/13/2022,1/15/2023,4/28/2022,Avenant,4893147,18736.07,client_18,292,31,Female,Married
193676,16103,2022,4/9/2022,3/13/2022,1/15/2023,4/28/2022,Avenant,4893147,18736.07,client_18,16,31,Female,Married
271679,16084,2022,12/4/2022,6/16/2022,12/29/2022,12/28/2022,Avenant,1718771,1228.57,client_19,196,47,Female,Single
152032,16085,2020,3/25/2021,12/30/2019,12/28/2020,3/28/2021,Avenant,1719117,1803.29,client_20,364,36,Male,Married
494105,16116,2024,12/10/2024,10/13/2024,6/27/2025,12/28/2024,Avenant,7875745,6223.66,client_21,77,57,Male,Married
494105,16116,2024,12/10/2024,10/13/2024,6/27/2025,12/28/2024,Avenant,7875745,6223.66,client_21,180,57,Male,Married
220403,16107,2022,10/29/2022,9/29/2022,9/28/2023,10/29/2022,Terme,6028039,15007.2,client_22,92,56,Female,Married
220403,16107,2022,10/29/2022,9/29/2022,9/28/2023,10/29/2022,Terme,6028039,15007.2,client_22,272,56,Female,Married
154768,16082,2021,5/10/2021,12/29/2020,12/28/2021,5/28/2021,Terme,4391973,45269.05,client_23,364,47,Female,Married
289544,16110,2023,2/26/2023,12/30/2022,12/29/2023,2/26/2023,Terme,4947658,16968.4,client_24,364,57,Female,Married
421554,16116,2024,4/5/2024,3/29/2024,3/28/2025,4/27/2024,Terme,8000754,1183.38,client_25,275,54,Male,Married
421554,16116,2024,4/5/2024,3/29/2024,3/28/2025,4/27/2024,Terme,8000754,1183.38,client_25,89,54,Male,Married
277565,16100,2021,1/1/2023,1/31/2021,12/28/2021,1/29/2023,Avenant,59261,17567.18,client_26,331,60,Female,Widowed
551957,16152,2025,6/27/2025,6/16/2025,12/28/2025,6/27/2025,Avenant,4696705,323.27,client_27,195,47,Male,Married
476289,16128,2024,9/14/2024,1/6/2024,12/28/2024,9/28/2024,Avenant,4821750,3521.15,client_28,357,60,Male,Widowed
308742,16112,2023,6/23/2023,2/18/2023,12/29/2023,6/28/2023,Ristourne,6212499,-228.86,client_29,314,43,Female,Married
588933,16076,2025,11/16/2025,2/16/2025,12/28/2025,11/27/2025,Avenant,24291,12394.31,client_30,315,38,Male,Married
460856,16073,2024,7/20/2024,6/28/2024,6/27/2025,7/29/2024,Terme,3274067,5545.8,client_31,184,60,Female,Married
460856,16073,2024,7/20/2024,6/28/2024,6/27/2025,7/29/2024,Terme,3274067,5545.8,client_31,180,60,Female,Married
637221,16122,2026,4/12/2026,3/30/2026,5/29/2026,4/28/2026,Terme,11842613,5354.086813,client_32,60,34,Female,Single
494104,16122,2024,12/10/2024,12/30/2023,12/28/2024,12/28/2024,Ristourne,8792116,-7190.04,client_33,364,56,Male,Married
552623,16115,2025,7/12/2025,6/28/2025,5/29/2026,7/28/2025,Avenant,6399425,33580.50096,client_34,184,47,Male,Widowed
552623,16115,2025,7/12/2025,6/28/2025,5/29/2026,7/28/2025,Avenant,6399425,33580.50096,client_34,151,47,Male,Widowed
307966,16073,2021,6/4/2023,6/28/2021,6/28/2022,6/28/2023,Ristourne,3274067,-10002.7,client_31,184,60,Female,Married
