transaction_id,store_id,product_category,price,quantity,transaction_date,payment_method
123456,12,Electronics,15000,10,2024-03-01,Cash
123457,,Clothing,25000,0,2024-03-02,Card
123458,5,Food,5000,101,03/03/2024,Online
123459,205,Furniture,18000,20,2024-03-04,Cheque
123459,10,Electronics,15000,10,2024-03-01,Cash
ABC123,15,Toys,12000,5,2024-03-06,Cash
123461,8,Clothing,15000,10,2024-03-07,Card
,9,Food,17000,15,2024-03-08,Online
123463,3,Furniture,19000,20,2024-03-09,Cash
123464,0,Electronics,16000,25,2024/03/10,Card
123465,12,Clothing,15000,30,2024-03-11,Bitcoin
123466,13,Food,18000,5,2024-03-12,Cash
123467,14,Furniture,21000,10,2024-03-13,Card
123468,7,Electronics,14000,0,2024-03-14,Online
123469,5,Clothing,15000,105,2024-03-15,Cash
123470,8,Food,18000,15,2024-03-16,Card
123471,9,Furniture,17000,20,2024-03-17,Online
123472,10,Electronics,15000,10,2024-03-18,Cash
123473,11,Clothing,15000,10,2024-03-19,Card
123474,12,Food,15000,10,2024-03-20,Online
