policy_id,client_id,policy_start,premium
100001,CL-12345,2024-01-01,1200
100002,CL-54321,2024-01-02,1500
100003,CL-11111,2024-01-03,1800
100004,CL-22222,2024-01-04,2000
100005,CL-33333,2024-01-05,2200
100006,CL-44444,2024-01-06,2500
100007,CL-55555,2024-01-07,2600
100008,CL-66666,2024-01-08,2700
100009,CL-77777,2024-01-09,3000
100010,CL-88888,2024-01-10,3100
100011,CL-99999,2024-01-11,3200
100012,CL-10101,2024-01-12,3300
100013,CL-20202,2024-01-13,3400
100014,CL-30303,2024-01-14,3500
100015,CL-40404,2024-01-15,3600
100016,CL-50505,2024-01-16,3700
100017,CL-60606,2024-01-17,3800
100018,CL-70707,2024-01-18,3900
100019,CL-80808,2024-01-19,4000
100020,CL-90909,2024-01-20,4100
100021,12345,2024-01-21,4200
100022,CL12345,2024-01-22,4300
100023,CL-1234,2024-01-23,4400
100024,CL-ABCDE,2024-01-24,4500
100025,CLIENT-12345,2024-01-25,4600
100026,CL-123456,2024-01-26,4700
100027,,2024-01-27,4800
100028,CL-88888,2024-01-28,4900
100029,CL-22222,2024-01-29,5000
100030,CL-77777,2024-01-30,5100
100031,CL-11111,2024-02-01,-300
100032,CL-22222,2024-02-02,60000
100033,CL-33333,2024-02-03,5300
100034,CL-44444,2024/02/04,5400
100035,CL-55555,2024-02-05,5500
100036,CL-66666,2024-02-06,5600
100037,CL-77777,2024-02-07,5700
100038,CL-88888,2024-02-08,5800
100039,CL-99999,2024-02-09,5900
100040,CL-12121,2024-02-10,6000
100041,CL-13131,2024-02-11,6100
100042,CL-14141,2024-02-12,6200
100043,CL-15151,2024-02-13,6300
100044,CL-16161,2024-02-14,6400
100045,CL-17171,2024-02-15,6500
100046,CL-18181,2024-02-16,6600
100047,CL-19191,2024-02-17,6700
100048,CL-20202,2024-02-18,6800
100049,CL-21212,2024-02-19,6900
100050,CL-22223,2024-02-20,7000
